IE_XML_ID;IE_NAME;IE_ACTIVE;IE_DETAIL_TEXT_TYPE;IE-CODE;IE_SORT;IE_TAGS;IP_PROP212;IP_PROP745;IP_PROP794;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP791;IP_PROP749;IP_PROP750;IP_PROP751;IP_PROP793;IP_PROP780;IP_PROP752;IP_PROP753;IP_PROP754;IP_PROP755;IP_PROP792;IP_PROP756;IP_PROP758;IP_PROP759;IP_PROP789;IP_PROP760;IP_PROP761;IP_PROP762;IP_PROP763;IP_PROP783;IP_PROP784;IP_PROP785;IP_PROP764;IP_PROP765;IP_PROP766;IP_PROP790;IP_PROP767;IP_PROP768;IP_PROP769;IP_PROP770;IP_PROP771;IP_PROP772;IP_PROP773;IP_PROP776;IP_PROP777;IP_PROP787;IP_PROP788;IP_PROP778;IP_PROP779;IC_GROUP0;IC_GROUP1
13818;Электрический погрузчик Yale ERP45VM;Y;text;elektricheskij-pogruzchik-Yale-ERP45VM;500;;474;4336;;2411;;2338;;;1360/ 1472;;;;2908;930;840;;;2020;;2069;;36;2 x 14.7;80;4500;;;;;14,9/ 22,7;2 x 14.7;;;19/ 21;;;;0,38/ 0,47;;;6493/ 6640;;;;7517;Складская техника;Вилочные погрузчики
13819;Электрический погрузчик Yale ERP50VM;Y;text;elektricheskij-pogruzchik-Yale-ERP50VM;500;;474;4336;;2411;;2338;;;1472;;;;2908;930;840;;;2020;;2069;;36;2 x 14.7;80;4999;;;;;14,1/ 22,2;2 x 14.7;;;19/ 21;;;;0,36/ 0,47;;;6487/ 6627;;;;7821;Складская техника;Вилочные погрузчики
13820;Электрический погрузчик Yale FB15PYE;Y;text;elektricheskij-pogruzchik-Yale-FB15PYE;500;;474;3583;;1775;;2090;;;1100;;;;2080;;390;;;1380;;645;;8,4;6,5;48;1500;;;;;;6,5;;;15,0 / 13,5;;;;0,56 / 0,34;;;;;;;2940;Складская техника;Вилочные погрузчики
13821;Электрический погрузчик Yale FB18PYE;Y;text;elektricheskij-pogruzchik-Yale-FB18PYE;500;;474;3613;;1805;;2090;;;1130;;;;2115;;390;;;1380;;645;;8,4;6,6;48;1750;;;;;;6,6;;;15,0 / 13,5;;;;0,56 / 0,33;;;;;;;3135;Складская техника;Вилочные погрузчики
13822;Электрический погрузчик Yale FB20PYE;Y;text;elektricheskij-pogruzchik-Yale-FB20PYE;500;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13695;Штабелер Yale MS10E;Y;text;shtabeler-yale-ms10e;500;;474;2386;;1528;;;;1892;800;;;;732;0;150;;;1225;;150;;2;1;24;1000;;;;;08.окт;1;;;5.6 / 6.0;;0.2 / 0.25;;0.10 / 0.20;;;;;;;745;Складская техника;Штабелеры
13824;Штабелер Yale MS10 AC;Y;text;shtabeler-Yale-MS10-AC;500;;474;2369;;1540;;;;1852;800;;;;692;200;150;;;1225;;150;;2;01.фев;24;1000;;;;;07.окт;01.фев;;;5.5 / 6.0;;0.30 / 0.25;;0.13 / 0.18;;;;;;;880;Складская техника;Штабелеры
13825;Штабелер Yale MS12 AC;Y;text;shtabeler-Yale-MS12-AC;500;;474;2433;;1626;;;;1912;800;;;;752;250;210;;;1315;;212;;2;01.фев;24;1200;;;;;07.окт;01.фев;;;5.5 / 6.0;;0.30 / 0.25;;0.12 / 0.18;;;;;;;960;Складская техника;Штабелеры
13826;Штабелер Yale MS14 AC;Y;text;shtabeler-Yale-MS14-AC;500;;474;2457 / 2523;;1626;;;;1944 / 2013;800;;;;784 / 853;250/ 375;210/ 315;;;1315 / 1385;;212 / 288;;3;01.фев;24;1400;;;;;07.окт;01.фев;;;5.5 / 6.0;;0.30 / 0.25;;0.15 / 0.22;;;;;;;1000 / 1120;Складская техника;Штабелеры
13827;Штабелер Yale MS16 AC;Y;text;shtabeler-Yale-MS16-AC;500;;474;2523;;1692;;;;2013;800;;;;853;375;315;;;1385;;288;;3;01.фев;24;1600;;;;;07.окт;01.фев;;;5.5 / 6.0;;0.30 / 0.25;;0.15 / 0.22;;;;;;;1120;Складская техника;Штабелеры
13828;Штабелер Yale MS14 IL AC;Y;text;shtabeler-Yale-MS14-IL-AC;500;;474;2513;;1760;;;;20527);860;;;;8927;375;315;;;1529;;267;;3;01.фев;24;1400;;;;;07.окт;01.фев;;;5.0 / 5.0;;0.3 / 0.25;;0.15 / 0.22;;;;;;;1200;Складская техника;Штабелеры
13829;Штабелер Yale MS16 IL AC;Y;text;shtabeler-Yale-MS16-IL-AC;500;;474;2513;;1760;;;;2052;860;;;;892;375;315;;;1529;;267;;3;01.фев;24;1600;;;;;07.окт;01.фев;;;5.0 / 5.0;;0.3 / 0.25;;0.15 / 0.22;;;;;;;1200;Складская техника;Штабелеры
13830;Штабелер Yale MS12S;Y;text;shtabeler-Yale-MS12S;500;;474;2540 / 2555;;1710;;;;2135 / 2155;960;;;;975 / 995;;460;;;1485;;350;;3;02.июн;24;янв.25;;;;;08.окт;02.июн;;;08.сен;;0.30 / 0.25;;0.18 / 0.22;;;;;;;1470 / 1570;Складская техника;Штабелеры
13831;Штабелер Yale MS15S;Y;text;shtabeler-Yale-MS15S;500;;474;2540 / 2555;;1710;;;;2135 / 2155;960;;;;975 / 995;;460;;;1485;;350;;3;02.июн;24;01.май;;;;;08.окт;02.июн;;;08.сен;;0.30 / 0.25;;0.15 / 0.22;;;;;;;1470 / 1570;Складская техника;Штабелеры
13832;Штабелер Yale MS12X;Y;text;shtabeler-Yale-MS12X;500;;474;2959;;2129;;;;2129 / 2575;860;;;;969 / 1415;;345;;;1423;;300;;3.0;02.фев;24;янв.25;;;;;08.окт;02.фев;;;06.июн;;0.3 / 0.28;;0.16 / 0.22;;;;;;;1398;Складская техника;Штабелеры
13833;Штабелер Yale MS12XIL;Y;text;shtabeler-Yale-MS12XIL;500;;474;2894;;2226;;;;2129 / 2575;860;;;;969 / 1415;;345;;;1520;;300;;3.0;4.0;24;янв.25;;;;;08.окт;4.0;;;6/6 / 8/8.5;;0.3 / 0.28;;0.16 / 0.22;;;;;;;1398;Складская техника;Штабелеры
13834;Штабелер Yale MS15X;Y;text;shtabeler-Yale-MS15X;500;;474;2977;;2129;;;;2141 / 2587;860;;;;981 / 1427;;345;;;1423;;300;;3.0;4.0;24;01.май;;;;;08.окт;4.0;;;6/6 / 8/8.5;;0.3 / 0.28;;0.16 / 0.22;;;;;;;1570;Складская техника;Штабелеры
13835;Штабелер Yale MS15XIL;Y;text;shtabeler-Yale-MS15XIL;500;;474;2912;;2226;;;;2141 / 2587;860;;;;981 / 1427;;345;;;1520;;300;;3.0;4.0;24;01.май;;;;;08.окт;4.0;;;6/6 / 8/8.5;;0.3 / 0.28;;0.16 / 0.22;;;;;;;1570;Складская техника;Штабелеры
13836;Штабелер Yale MC10;Y;text;shtabeler-Yale-MC10;500;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13837;Штабелер Yale MC12;Y;text;shtabeler-Yale-MC12;500;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13838;Штабелер Yale MC15;Y;text;shtabeler-Yale-MC15;500;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13712;Транспортировщик паллет Yale MP13;Y;text;transportirovshchik-pallet-yale-mp13;500;;474;1911;;1512;;;;1683;700;;;;500;0;55;;;1331;;40;;1.0;0.8;24;01.мар;;;;;май.20;0.8;;;5.5 / 5.5;;0.08 / 0.08;;0.030 / 0.044;;;;;;;292;Складская техника;Транспортировщики паллет
13840;Транспортировщик паллет Yale MP16;Y;text;transportirovshchik-pallet-Yale-MP16;500;;474;1911;;1512;;;;1683;700;;;;500;0;150;;;1331;;144;;1.0;0.8;24;01.июн;;;;;окт.20;0.8;;;05.05.2006;;0.08 / 0.08;;0.032 / 0.046;;;;;;;396;Складская техника;Транспортировщики паллет
13841;Транспортировщик паллет Yale MP18 AC;Y;text;transportirovshchik-pallet-Yale-MP18-AC;500;;474;1911;;1512;;;;1683;700;;;;500;200;150;;;1331;;144-185;;1.0;01.фев;24;01.авг;;;;;окт.20;01.фев;;;06.июн;;0.08 / 0.08;;0.032 / 0.046;;;;;;;503;Складская техника;Транспортировщики паллет
13842;Транспортировщик паллет Yale MP20 AC;Y;text;transportirovshchik-pallet-Yale-MP20-AC;500;;474;1911;;1512;;;;1683;700;;;;500;200;150;;;1331;;144-185;;1.0;01.фев;24;2;;;;;окт.20;01.фев;;;06.июн;;0.08 / 0.08;;0.034 / 0.046;;;;;;;503;Складская техника;Транспортировщики паллет
13843;Транспортировщик паллет Yale MP20L AC;Y;text;transportirovshchik-pallet-Yale-MP20L-AC;500;;474;1983;;1584;;;;1755;700;;;;572;250;210;;;1403;;222 (212);;01.апр;01.фев;24;2;;;;;окт.20;01.фев;;;06.июн;;0.08 / 0.08;;0.034 / 0.046;;;;;;;523;Складская техника;Транспортировщики паллет
13844;Транспортировщик паллет Yale MP22 AC;Y;text;transportirovshchik-pallet-Yale-MP22-AC;500;;474;1983;;1584;;;;1755;700;;;;572;250;210;;;1403;;222 (212);;01.апр;01.фев;24;02.фев;;;;;окт.20;01.фев;;;06.июн;;0.08 / 0.08;;0.032 / 0.046;;;;;;;530;Складская техника;Транспортировщики паллет
13845;Транспортировщик паллет Yale MP20DL;Y;text;transportirovshchik-pallet-Yale-MP20DL;500;;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Складская техника;Транспортировщики паллет
13846;Транспортировщик паллет Yale MP25HD;Y;text;transportirovshchik-pallet-Yale-MP25HD;500;;474;2087;;1652;;;;1888;735;;;;732;0;300;;;1530;;233;;01.апр;02.июн;24;02.май;;;;;авг.20;02.июн;;;05.07.2006;;0.048 / 0.044;;0.029 / 0.037;;;;;;;760;Складская техника;Транспортировщики паллет
13847;Транспортировщик паллет Yale MP30HD;Y;text;transportirovshchik-pallet-Yale-MP30HD;500;;474;2087;;1652;;;;1888;735;;;;732;0;300;;;1530;;233;;01.апр;02.июн;24;3.0;;;;;май.20;02.июн;;;05.05.2006;;0.048 / 0.044;;0.029 / 0.037;;;;;;;780;Складская техника;Транспортировщики паллет
13848;Транспортировщик паллет Yale MP20S;Y;text;transportirovshchik-pallet-Yale-MP20S;500;;474;2300;;1865;;;;2039;960;;;;883;;460;;;1633;;260;;2;02.июн;24;2;;;;;авг.20;02.июн;;;7.5 / 9.5;;0.048 / 0.044;;0.029 / 0.037;;;;;;;1070;Складская техника;Транспортировщики паллет
13849;Транспортировщик паллет Yale MP30S;Y;text;transportirovshchik-pallet-Yale-MP30S;500;;474;2300;;1865;;;;2039;960;;;;883;;460;;;1633;;260;;2;02.июн;24;3;;;;;май.20;02.июн;;;7.5 / 9.5;;0.048 / 0.044;;0.029 / 0.037;;;;;;;1090;Складская техника;Транспортировщики паллет
13850;Транспортировщик паллет Yale MP20T;Y;text;transportirovshchik-pallet-Yale-MP20T;500;;474;2277;;1842;;;;2027;790;;;;877;;375;;;1622;;320;;2;02.июн;24;2;;;;;авг.15;02.июн;;;7.5 / 9.5;;0.048 / 0.044;;0.029 / 0.037;;;;;;;1100;Складская техника;Транспортировщики паллет
13851;Транспортировщик паллет Yale MP20XD;Y;text;transportirovshchik-pallet-Yale-MP20XD;500;;474;2621 / 3059;;1970 / 2408;;;;2129 / 2575;780;;;;969 / 1415;0;300;;;1702;;260;;2.0;4.0;24;1 + 1;;;;;08.окт;4.0;;;6/6 / 8/8.5;;0.3 / 0.28;;0.16 / 0.22;;;;;;;(1100) 1050;Складская техника;Транспортировщики паллет
13852;Транспортировщик паллет Yale MP20X;Y;text;transportirovshchik-pallet-Yale-MP20X;500;;474;2139 / 2586;;1743 / 2190;;;;1922 / 2368;780;;;;739 / 1185;300;210;;;1485;;215;;2.0;4;24;2.0;;;;;окт.20;4;;;6/6 / 10/10.5;;0.05 / 0.04;;0.03 / 0.04;;;;;;;950 (1000);Складская техника;Транспортировщики паллет
13853;Транспортировщик паллет Yale MP20X;Y;text;transportirovshchik-pallet-Yale-MP20X-2;500;;474;2179 / 2626;;1783 / 2230;;;;1962 / 2408;780;;;;779/ 1225;0;400;;;1525;;330;;2.0;4;24;2.0;;;;;окт.20;4;;;6/6 / 10/10.5;;0.05 / 0.04;;0.03 / 0.04;;;;;;;950 (1000);Складская техника;Транспортировщики паллет
13854;Транспортировщик паллет Yale MP20X;Y;text;transportirovshchik-pallet-Yale-MP20X-3;500;;474;2229 / 2676;;1833 / 2280;;;;2012 / 2458;780;;;;829 / 1275;0;500;;;1575;;400;;2.0;4;24;2.0;;;;;окт.20;4;;;6/6 / 10/10.5;;0.05 / 0.04;;0.03 / 0.04;;;;;;;950 (1000);Складская техника;Транспортировщики паллет
13855;Транспортировщик паллет Yale MP20XV;Y;text;transportirovshchik-pallet-Yale-MP20XV;500;;474;2058 / 2508;;1670 / 2120;;;;1850 / 2296;716;;;;658 / 1104;250;210;;;1419;;215;;1;2;24;2.0;;;;;окт.20;2;;;6.0 / 6.0;;0.05 / 0.04;;0.03 / 0.04;;;;;;;750;Складская техника;Транспортировщики паллет
13856;Транспортировщик паллет Yale MP20XV;Y;text;transportirovshchik-pallet-Yale-MP20XV-2;500;;474;2130 / 2508;;1742 / 2192;;;;1922 / 2368;716;;;;730 / 1176;375;315;;;1491;;297;;2;2;24;2.0;;;;;окт.20;2;;;6.0/6.0 / 7.4/7.5;;0.05 / 0.04;;0.03 / 0.04;;;;;;;875;Складская техника;Транспортировщики паллет
13857;Транспортировщик паллет Yale MP20XV;Y;text;transportirovshchik-pallet-Yale-MP20XV-3;500;;474;- / 2694;;- / 2306;;;;- / 2478;716;;;;- / 1286;375;315;;;1491;;297;;2;2;24;2.0;;;;;окт.14;2;;;- / 7.4/7.5;;0.05 / 0.04;;0.03 / 0.04;;;;;;;925;Складская техника;Транспортировщики паллет
13713;Ричтрак Yale MR14;Y;text;richtrak-yale-mr14;500;;474;2575 / 2613 / 2656;;1688;;;;2400 / 2472 / 2544;1270;;;;1200 / 1272 / 1344;0;420 / 560 / 700;;;1435;;750;;14;6,4;48;1400;;;;;дек.18;6,4;;;13 / 13;;0,53 / 0,51;;0,36 / 0,52;;;;;;;2980;Складская техника;Ричтраки
13859;Ричтрак Yale MR14H;Y;text;richtrak-Yale-MR14H;500;;474;2582 / 2619 / 2661;;1702;;;;2400 / 2472 / 2544;1270;;;;1200 / 1272 / 1344;0;420 / 560 / 700;;;1450;;750;;14;6,4;48;1400;;;;;дек.18;6,4;;;13 / 13;;0,53 / 0,51;;0,36 / 0,52;;;;;;;3440;Складская техника;Ричтраки
13860;Ричтрак Yale MR16;Y;text;richtrak-Yale-MR16;500;;474;2600 / 2634 / 2674;;1736;;;;2400 / 2472 / 2544;1270;;;;1200 / 1272 / 1344;0;420 / 560 / 700;;;1485;;750;;14;6,4;48;1600;;;;;дек.18;6,4;;;13 / 13;;0,53 / 0,51;;0,36 / 0,52;;;;;;;3000;Складская техника;Ричтраки
