IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_DETAIL_TEXT_TYPE;IE-CODE;IE_SORT;IE_TAGS;IP_PROP212;IP_PROP745;IP_PROP794;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP791;IP_PROP749;IP_PROP750;IP_PROP751;IP_PROP793;IP_PROP780;IP_PROP752;IP_PROP753;IP_PROP754;IP_PROP755;IP_PROP792;IP_PROP756;IP_PROP758;IP_PROP759;IP_PROP789;IP_PROP760;IP_PROP761;IP_PROP762;IP_PROP763;IP_PROP783;IP_PROP784;IP_PROP785;IP_PROP764;IP_PROP765;IP_PROP766;IP_PROP790;IP_PROP767;IP_PROP768;IP_PROP769;IP_PROP770;IP_PROP771;IP_PROP772;IP_PROP773;IP_PROP776;IP_PROP777;IP_PROP787;IP_PROP788;IP_PROP778;IP_PROP779;IC_GROUP0;IC_GROUP1
13909;Автопогрузчик Yale GP18AK;13909;Y;text;;500;;474;1895;;2010;137/1600;2060;;;1135/1070;MAZDA FE;;;2310;;;52;;;;;;;30,8;;1750;;;;апр.98;33/23;;;;18.5/19.0;;;;600/635;;Automat1c;17100;;;;2865;;
13694;Автопогрузчик Yale GP20AK;13694;Y;text;;500;;474;1915;;2040;137/1600;2060;;;1135/1070;MAZDA FE;;;2350;;;52;;;;;;;30,8;;2000;;;;апр.98;30/21;;;;18.0/19.0;;;;595/635;;Automat1c;17170;;;;3050;;
13910;Автопогрузчик Yale GDP15AK;13910;Y;text;;500;;474;1840;;1975;150/1400;2060;;;1070/1070;Yanmar 4TNE92;;;2275;;;52;;;;;;;32.8;;1500;;;;апр.59;38/25;;;;17.5/18.0;;;;630/670;;Automat1c;18430;;;;2695;;
13696;Автопогрузчик Yale GDP18AK;13696;Y;text;;500;;474;1895;;2010;150/1400;2060;;;1135/1070;Yanmar 4TNE92;;;2310;;;52;;;;;;;32.8;;1750;;;;апр.59;33/23;;;;18.0/19.0;;;;620/670;;Automat1c;17390;;;;2945;;
13697;Автопогрузчик Yale GDP20AK;13697;Y;text;;500;;474;1915;;2040;150/1400;2060;;;1135/1070;Yanmar 4TNE92;;;2350;;;52;;;;;;;32.8;;2000;;;;апр.59;30/21;;;;18.0/19.0;;;;610/670;;Automat1c;17460;;;;3135;;
13698;Автопогрузчик Yale GP25RK;13698;Y;text;;500;;474;2070;;2210;137/1600;2130;;;1160/1140;MAZDA FE;;;2600;;;69;;;;;;;33.8;;2500;;;;апр.98;26/24;;;;18.0/18.5;;;;550/595;;Automat1c;18820;;;;3800;;
13699;Автопогрузчик Yale GDP25RK;13699;Y;text;;500;;474;2070;;2210;150/1400;2130;;;1160/1140;Yanmar 4TNE92;;;2600;;;69;;;;;;;37.4;;2500;;;;апр.59;27/24;;;;17.5/18.5;;;;590/620;;Automat1c;19830;;;;3880;;
13700;Автопогрузчик Yale GP30TK;13700;Y;text;;500;;474;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13701;Автопогрузчик Yale GDP30TK;13701;Y;text;;500;;474;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13702;Автопогрузчик Yale GP35TK;13702;Y;text;;500;;474;2190;;2355;157/1600;2150;;;1235/1140;MAZDA F2;;;2790;;;69;;;;;;;39.7;;3500;;;;апр.84;21/23;;;;17.5/17.5;;;;450/550;;Automat1c;20640;;;;4865;;
13703;Автопогрузчик Yale GDP35TK;13703;Y;text;;500;;474;2190;;2355;214/1700;2150;;;1235/1140;Yanmar 4TNE98;;;2740;;;69;;;;;;;50.6;;3500;;;;апр.19;25/20;;;;19.5/19.5;;;;495/505;;Automat1c;22980;;;;4940;;
13704;Автопогрузчик Yale UT15 Дизельный;13704;Y;text;;500;;474;1970;;1970;;2130;;;1080/1500; Yanmar 4TNE92;;;2265;;;;;;;;;;32,8;;1500;;;;апр.59;;;;;14 / 14.5;;;;0.59 / 0.65;;;;;;;2740;;
13705;Автопогрузчик Yale UT18 Дизельный;13705;Y;text;;500;;474;3810;;2005;;2130;;;1080/1500;Yanmar 4TNE92;;;2300;;;;;;;;;;32,8;;1750;;;;апр.59;40 / 25;;;;14 / 14.5;;;;0.59 / 0.65;;АКПП;24750 / 8160;;;;2930;;
13706;Автопогрузчик Yale UT20 Дизельный;13706;Y;text;;500;;474;4045;;2175;;2140;;;1155 / 1600;Yanmar 4TNE92;;;2530;;;;;;;;;;32,8;;2000;;;;апр.59;23 / 30;;;;19.9 / 20.4;;;;0.53 / 0.58;;АКПП;13800 / 11250;;;;3440;;
13707;Автопогрузчик Utilev UT25 Дизельный;13707;Y;text;;500;;1075;4105;;2235;;2140;;;1155 / 1600;Yanmar 4TNE92;;;2600;;;;;;;;;;32,8;;2500;;;;апр.59;20 / 26;;;;19.7 / 20.2;;;;0.53 / 0.58;;АКПП;13800 / 10700;;;;3765;;
13708;Автопогрузчик Utilev UT30 Дизельный;13708;Y;text;;500;;1075;4255;;2375;;2170;;;1225 / 1725;Yanmar 4TNE98;;;2750;;;;;;;;;;44,3;;3000;;;;апр.19;26 / 26;;;;17.06.2018;;;;0.45 / 0.50;;АКПП;20700 / 12100;;;;4255;;
13709;Автопогрузчик Utilev UT35 Дизельный;13709;Y;text;;500;;1075;2295;;2415;;2170;;;1225 / 1725;Yanmar 4TNE98;;;2800;;;;;;;;;;44,3;;3500;;;;апр.19;23 / 26;;;;17 / 18;;;;0.35 / 0.38;;АКПП;20700 / 13000;;;;4555;;
13710;Автопогрузчик Utilev UT15 Газ-бензиновый;13710;Y;text;;500;;1075;3775;;1970;;2130;;;1080/1500;Nissan K21;;;2265;;;;;;;;;;31,5;;1500;;;;апр.65;45 / 28;;;;14 / 14.5;;;;0.47 / 0.51;;АКПП;20100 / 8370;;;;2740;;
13711;Автопогрузчик Utilev UT18 Газ-бензиновый;13711;Y;text;;500;;1075;3810;;2005;;2130;;;1080/1500;Nissan K21;;;2300;;;;;;;;;;31,5;;1750;;;;апр.65;31 / 25;;;;14 / 14.5;;;;0.47 / 0.51;;АКПП;20100 / 8160;;;;2930;;
13911;Автопогрузчик Utilev UT20 Газ-бензиновый;13911;Y;text;;500;;1075;4045;;2175;;2140;;;1155 / 1600;Nissan K21;;;2530;;;;;;;;;;31,5;;2000;;;;апр.65;23 / 30;;;;19.8 / 20.3;;;;0.48 / 0.52;;АКПП;14000 / 11250;;;;3440;;
13912;Автопогрузчик Utilev UT25 Газ-бензиновый;13912;Y;text;;500;;1075;4105;;2235;;2140;;;1155 / 1600;Nissan K21;;;2600;;;;;;;;;;31,5;;2500;;;;60358;20 / 26;;;;19.05.2020;;;;0.48 / 0.52;;АКПП;14000 / 10700;;;;3765;;
13913;Автопогрузчик Utilev UT30 Газ-бензиновый;13913;Y;text;;500;;1075;4255;;2375;;2170;;;1225 / 1725;Nissan K25;;;2750;;;;;;;;;;38;;3000;;;;апр.88;25 / 26;;;;17.1 / 17.6;;;;0.41 / 0.45;;АКПП;19500 / 12100;;;;4255;;
13715;Автопогрузчик Utilev UT35 Газ-бензиновый;13715;Y;text;;500;;1075;2295;;2415;;2170;;;1225 / 1725;Nissan K25;;;2800;;;;;;;;;;38;;3500;;;;апр.88;22 / 26;;;;17.1 / 17.6;;;;0.32 / 0.35;;АКПП;19500 / 13000;;;;4555;;
